laptop_title,asin,id,Performance,Build quality,Battery life,Display,Gaming,Graphics,Sound,Fans,Cooling system,Weight,Price
"HP ENVY 13-13.99 INCHES THIN LAPTOP W/ FINGERPRINT READER, 4K TOUCHSCREEN, INTEL CORE I7-8565U, NVIDIA GEFORCE MX250 GRAPHICS, 16GB SDRAM, 512GB SSD, WINDOWS 10 HOME (13-AQ0044NR, NATURAL SILVER)",b07ppdffg9,15,0.1400511,0.0942066,-0.0884209,0.4374095,0.2129031,0.3671884,-0.0192036,-0.1522586,0.0893579,0.6320618,0.1556577
"DELL PRECISION 5750, 17 INCH UHD+ TOUCH LAPTOP - INTEL CORE I7-10750H, 32GB DDR4 RAM, 512GB SSD HD, NVIDIA QUADRO RTX 3000 6GB, WINDOWS 10 PRO - SILVER",b08g58z3fg,16,0.6914445,0.6515507,0.2610563,0.6529496,0.5168468,0.688285,0.8602422,0.8564817,0.4418293,0.4444932,0.488708
"DELL XPS 17 9710 TOUCHSCREEN LAPTOP, 17 INCH UHD+ DISPLAY - INTEL CORE I9-11900H, 32GB DDR4 RAM, 1TB SSD, NVIDIA GEFORCE RTX 3060 6GB GDDR6, WINDOWS 10 PRO - PLATINUM SILVER",b07gw74b6n,17,0.4695586,0.3218652,0.4758498,0.4603221,0.5341362,0.8552466,0.7979233,0.8303232,0.3453071,0.8601503,0.5294514
"HP PAVILION GAMING 15-INCH LAPTOP, INTEL CORE I5-9300H, NVIDIA GEFORCE GTX 1650, 12GB RAM, 512GB SSD, WINDOWS 10 (15-DK0042NR, BLACK)",b07sgg6hvb,18,0.3396985,0.2321374,-0.1518326,-0.0745881,0.6012291,0.4277245,0.0059952,-0.0473099,0.6193407,0.5485438,0.1937558
"CUK HP PAVILION 17 TOUCH GAMING LAPTOP (INTEL I7-7700HQ, 16GB DDR4 RAM, 128GB SSD + 1TB HDD, NVIDIA GTX 1050 4GB, WINDOWS 10, FULL HD TOUCHSCREEN) BANG & OLUFSEN MULTIMEDIA VIDEO MUSIC PRODUCTION",b01h40lc64,19,0.4175443,0.350643,0,0.0139205,0.793446,-0.067799,0,-0.889676,-0.693879,0.1735162,0.4761342
"ASUS N580VD-DB74T VIVOBOOK PRO 15 FHD TOUCHSCREEN LAPTOP, INTEL CORE I7, NVIDIA GEFORCE GAMING GTX 1050 4GB, 16GB RAM, 512GB SSD, BACKLIT KEYBOARD, 15.6""",b0747s3v8d,20,0.3649005,0.2131744,-0.2037109,0.0929002,0.4871393,0.4821676,0.1493629,0.2643697,-0.2807665,0.1258045,0.1889708
"MSI GE75 RAIDER-287 17.3"" GAMING LAPTOP, 144HZ DISPLAY, THIN BEZEL, INTEL CORE I7-9750H, NVIDIA GEFORCE RTX2060, 16GB, 512GB NVME SSD",b07qc4gzcc,21,0.2785025,0.1415837,-0.6647526,-0.1571241,0.458567,0.2178966,0.559478,-0.4089896,0.0700825,0.254248,0.4578062
"CUK GF65 THIN BY MSI 15 INCH GAMING NOTEBOOK (INTEL CORE I7, 32GB RAM, 2TB NVME SSD, NVIDIA GEFORCE GTX 1660 TI 6GB, 15.6"" FHD 120HZ IPS-LEVEL, WINDOWS 10 HOME) GAMER LAPTOP COMPUTER",b079scfypf,22,0.2002958,0.0466124,-0.5442924,-0.0057103,0.343052,0.4104359,0.5946896,-0.0189554,0.1193757,0.522312,0.6044763
"RAZER BLADE 14 GAMING LAPTOP: AMD RYZEN 9 5900HX 8 CORE, NVIDIA GEFORCE RTX 3070, 14"" QHD 165HZ, 16GB RAM, 1TB SSD - CNC ALUMINUM - CHROMA RGB - THX SPATIAL AUDIO - VAPOR CHAMBER COOLING",b094658smy,23,0.2619701,0.2149626,0.144843,0.3297025,0.4442469,0.3118351,-0.2354957,0.0794744,0.3387447,0.3399925,-0.1129299
"HP OMEN 15.6 INCH TOUCHSCREEN GAMING LAPTOP (INTEL CORE I7, 8 GB, 256 GB SSD, BLACK) NVIDIA GEFORCE GTX 960M",b00x5x2mw8,24,0.4836061,0.1274746,0.0013491,0.5916917,0.1306653,0.3573075,0.735517,0.473565,-0.0030815,0.4714444,0.588553
